# POE2 Wiki Category Review
#
# Format: [INCLUDE/EXCLUDE] Category Name (pages: N, subcats: N)
# Edit the [INCLUDE] / [EXCLUDE] tags below.
# When you're happy, pass this file to the ingestor.
# Lines starting with # are comments and will be ignored.
#
# Total categories: 804

[INCLUDE] Abyss (pages: 66, subcats: 1)
[INCLUDE] Minion meta gems (pages: 2, subcats: 0)
[INCLUDE] Minion skill gems (pages: 30, subcats: 0)
[INCLUDE] Minion support gems (pages: 34, subcats: 0)
[EXCLUDE] Miscellaneous cosmetic items (pages: 1, subcats: 0)
[INCLUDE] Miscellaneous map items (pages: 1, subcats: 0)
[INCLUDE] Mod lists (pages: 1, subcats: 1)
[EXCLUDE] Modifier modules (pages: 4, subcats: 0)
[EXCLUDE] Mods (pages: 14838, subcats: 0)
[EXCLUDE] Module documentation (pages: 90, subcats: 0)
[EXCLUDE] Module test cases (pages: 1, subcats: 1)
[EXCLUDE] Modules (pages: 18, subcats: 13)
[EXCLUDE] Modules adapted from Wikipedia (pages: 32, subcats: 0)
[INCLUDE] Monk ascendancy classes (pages: 2, subcats: 0)
[EXCLUDE] Monster modifiers (pages: 3, subcats: 0)
[EXCLUDE] Monster screenshots (pages: 0, subcats: 1)
[INCLUDE] Monster skills (pages: 2, subcats: 0)
[INCLUDE] Monster types (pages: 7, subcats: 3)
[INCLUDE] Monsters (pages: 506, subcats: 19)
[EXCLUDE] NPCs (pages: 17, subcats: 7)
[EXCLUDE] Namespace manipulation templates (pages: 9, subcats: 0)
[INCLUDE] Navigational boxes without horizontal lists (pages: 11, subcats: 0)
[EXCLUDE] Navigational templates (pages: 26, subcats: 0)
[INCLUDE] Newly released content (pages: 92, subcats: 0)
[EXCLUDE] Normal items with legacy variants (pages: 48, subcats: 0)
[INCLUDE] Normal monsters (pages: 334, subcats: 0)
[EXCLUDE] Notable passive skills (pages: 98, subcats: 0)
[EXCLUDE] Notice modules (pages: 1, subcats: 0)
[EXCLUDE] Notice templates (pages: 27, subcats: 1)
[INCLUDE] Nova gems (pages: 0, subcats: 3)
[INCLUDE] Nova meta gems (pages: 1, subcats: 0)
[INCLUDE] Nova skill gems (pages: 16, subcats: 0)
[INCLUDE] Off-hands (pages: 5, subcats: 0)
[INCLUDE] Omens (pages: 45, subcats: 0)
[INCLUDE] One hand axes (pages: 8, subcats: 1)
[INCLUDE] One hand maces (pages: 27, subcats: 1)
[INCLUDE] One hand swords (pages: 10, subcats: 1)
[INCLUDE] One hand weapons (pages: 0, subcats: 10)
[EXCLUDE] One-handed weapon modifiers (pages: 8, subcats: 0)
[INCLUDE] Orb gems (pages: 0, subcats: 3)
[INCLUDE] Orb skill gems (pages: 5, subcats: 0)
[EXCLUDE] Page creation templates (pages: 1, subcats: 0)
[EXCLUDE] Pages needing cleanup (pages: 1, subcats: 0)
[INCLUDE] Pages transcluding nonexistent sections (pages: 1, subcats: 0)
[EXCLUDE] Pages using duplicate arguments in template calls (pages: 2, subcats: 0)
[INCLUDE] Pages with RSS feeds (pages: 1, subcats: 0)
[INCLUDE] Pages with broken item links (pages: 10, subcats: 0)
[INCLUDE] Pages with broken skill links (pages: 2, subcats: 0)
[INCLUDE] Pages with broken skill progression tables (pages: 13, subcats: 0)
[INCLUDE] Pages with math errors (pages: 2, subcats: 1)
[INCLUDE] Pages with math render errors (pages: 3, subcats: 0)
[EXCLUDE] Pages with missing files (pages: 1306, subcats: 2)
[INCLUDE] Pages with script errors (pages: 14, subcats: 0)
[INCLUDE] Pages with version history for unknown versions (pages: 72, subcats: 0)
[EXCLUDE] Partial table wikitext templates (pages: 3, subcats: 0)
[EXCLUDE] Passive skill data (pages: 7580, subcats: 0)
[EXCLUDE] Passive skill icons (pages: 0, subcats: 2)
[EXCLUDE] Passive skill items (pages: 10, subcats: 0)
[EXCLUDE] Passive skill lists (pages: 1, subcats: 0)
[EXCLUDE] Passive skill modules (pages: 3, subcats: 0)
[EXCLUDE] Passive skills (pages: 3, subcats: 8)
[EXCLUDE] Passive templates (pages: 8, subcats: 0)
[INCLUDE] Path of Exile 2 Wiki (pages: 5, subcats: 14)
[EXCLUDE] Paths Not Taken passive skills (pages: 43, subcats: 0)
[INCLUDE] Payoff gems (pages: 0, subcats: 3)
[INCLUDE] Payoff skill gems (pages: 24, subcats: 0)
[INCLUDE] Payoff support gems (pages: 9, subcats: 0)
[INCLUDE] Persistent gems (pages: 0, subcats: 3)
[INCLUDE] Persistent meta gems (pages: 20, subcats: 0)
[INCLUDE] Persistent skill gems (pages: 80, subcats: 0)
[INCLUDE] Persistent support gems (pages: 32, subcats: 0)
[INCLUDE] Pets (pages: 86, subcats: 0)
[INCLUDE] Physical gems (pages: 0, subcats: 3)
[INCLUDE] Physical skill gems (pages: 57, subcats: 0)
[INCLUDE] Physical support gems (pages: 61, subcats: 0)
[INCLUDE] Pickups (pages: 1, subcats: 1)
[INCLUDE] Pinnacle bosses (pages: 9, subcats: 0)
[INCLUDE] Pinnacle keys (pages: 8, subcats: 0)
[INCLUDE] Plant gems (pages: 0, subcats: 3)
[INCLUDE] Plant skill gems (pages: 6, subcats: 0)
[INCLUDE] Plant support gems (pages: 4, subcats: 0)
[INCLUDE] Portal effects (pages: 15, subcats: 0)
[INCLUDE] Projectile gems (pages: 0, subcats: 3)
[INCLUDE] Projectile skill gems (pages: 87, subcats: 0)
[INCLUDE] Projectile support gems (pages: 54, subcats: 0)
[INCLUDE] Projects (pages: 1, subcats: 0)
[INCLUDE] Proposed deletions (pages: 19, subcats: 8)
[INCLUDE] Proposed merges (pages: 2, subcats: 0)
[INCLUDE] Quarterstaves (pages: 27, subcats: 1)
[EXCLUDE] Query templates (pages: 42, subcats: 0)
[INCLUDE] Quest items (pages: 104, subcats: 2)
[INCLUDE] Quest rewards (pages: 1, subcats: 0)
[INCLUDE] Quests (pages: 56, subcats: 9)
[INCLUDE] Quivers (pages: 13, subcats: 1)
[INCLUDE] Races (pages: 3, subcats: 0)
[INCLUDE] Ranged weapons (pages: 0, subcats: 4)
[INCLUDE] Ranger ascendancy classes (pages: 2, subcats: 0)
[INCLUDE] Rare monsters (pages: 13, subcats: 0)
[EXCLUDE] Relic modifiers (pages: 3, subcats: 0)
[INCLUDE] Relics (pages: 9, subcats: 1)
[INCLUDE] Remnant gems (pages: 0, subcats: 3)
[INCLUDE] Remnant skill gems (pages: 11, subcats: 0)
[INCLUDE] Remnant support gems (pages: 8, subcats: 0)
[INCLUDE] Removed item lists (pages: 2, subcats: 0)
[INCLUDE] Removed mechanics (pages: 0, subcats: 1)
[EXCLUDE] Removed passive skills (pages: 34, subcats: 0)
[INCLUDE] Resources (pages: 23, subcats: 0)
[EXCLUDE] Result formatting templates (pages: 1, subcats: 0)
[EXCLUDE] Ring skins (pages: 31, subcats: 0)
[INCLUDE] Rings (pages: 20, subcats: 1)
[INCLUDE] Ritual (pages: 22, subcats: 1)
[INCLUDE] Ritual monsters (pages: 2, subcats: 0)
[INCLUDE] Rogue exiles (pages: 1, subcats: 0)
[INCLUDE] Runes (pages: 67, subcats: 0)
[INCLUDE] Sceptres (pages: 11, subcats: 1)
[EXCLUDE] Screenshots (pages: 0, subcats: 11)
[INCLUDE] ScribuntoUnit failed tests (pages: 1, subcats: 0)
[INCLUDE] Shapeshift gems (pages: 0, subcats: 3)
[INCLUDE] Shapeshift meta gems (pages: 2, subcats: 0)
[INCLUDE] Shapeshift skill gems (pages: 18, subcats: 0)
[EXCLUDE] Shield modifiers (pages: 5, subcats: 0)
[EXCLUDE] Shield skins (pages: 4, subcats: 0)
[INCLUDE] Shields (pages: 60, subcats: 1)
[INCLUDE] Skill gems (pages: 1, subcats: 54)
[INCLUDE] Skill gems by item class (pages: 16, subcats: 0)
[INCLUDE] Skill lists (pages: 2, subcats: 2)
[INCLUDE] Skill lists based on stats (pages: 1, subcats: 0)
[EXCLUDE] Skill modules (pages: 2, subcats: 0)
[EXCLUDE] Skill templates (pages: 3, subcats: 0)
[INCLUDE] Skills (pages: 6, subcats: 9)
[INCLUDE] Slam gems (pages: 0, subcats: 3)
[INCLUDE] Slam meta gems (pages: 1, subcats: 0)
[INCLUDE] Slam skill gems (pages: 20, subcats: 0)
[INCLUDE] Slam support gems (pages: 11, subcats: 0)
[EXCLUDE] Small passive skills (pages: 8, subcats: 0)
[INCLUDE] Sorceress ascendancy classes (pages: 3, subcats: 0)
